ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
0,1,33,男,重,636:929:908:870:444:935:101:663:911:693:844:877:573:480:919:943:94:110:4:22:212:311:301:173,9.0:10.0:10.0:114.0:101.0:50.0:10.0:53.0:10.0:28.0:47.0:186.0:107.0:142.0:30.0:10.0:87.0:10.0:91.0:53.0:237.0:10.0:163.0:37.0,10.0:10.0:10.0:125.0:101.0:41.0:10.0:15.0:10.0:28.0:47.0:175.0:107.0:142.0:30.0:10.0:80.0:10.0:74.0:76.0:288.0:10.0:163.0:10.0
1,2,45,女,中,809:810:698:120:128:870:763:880:814:906:667:929:942:950:925:908:622:629:96:101:447:207:2,10.0:25.0:10.0:9.0:9.0:145.0:10.0:64.0:10.0:93.0:10.0:36.0:29.0:10.0:10.0:40.0:9.0:9.0:10.0:90.0:275.0:398.0:150.0,10.0:10.0:25.0:9.0:9.0:168.0:10.0:52.0:10.0:78.0:10.0:10.0:31.0:34.0:40.0:10.0:9.0:9.0:91.0:9.0:270.0:300.0:149.0
2,3,26,女,重,510:111:923:809:9:667:120:646:810:634:813:167:908:930:1:485:94:617:641:938:115:915:929:216:886:883,206.0:10.0:10.0:9.0:93.0:45.0:9.0:9.0:9.0:9.0:9.0:9.0:29.0:10.0:56.0:51.0:90.0:25.0:9.0:10.0:9.0:10.0:35.0:309.0:143.0:158.0,206.0:11.0:10.0:10.0:90.0:45.0:9.0:9.0:10.0:10.0:10.0:9.0:29.0:10.0:60.0:51.0:91.0:25.0:9.0:10.0:9.0:10.0:35.0:311.0:142.0:157.0
3,4,29,男,重,878:926:843:667:841:685:902:870:909:680:829:910:13:9:216:193:492:454:933:929:123:161:624:96,70.0:9.0:9.0:9.0:27.0:9.0:120.0:111.0:9.0:9.0:9.0:41.0:22.0:129.0:80.0:340.0:314.0:22.0:25.0:50.0:15.0:10.0:10.0:101.0,14.0:10.0:10.0:10.0:10.0:13.0:183.0:101.0:22.0:10.0:10.0:17.0:15.0:135.0:36.0:369.0:100.0:250.0:39.0:10.0:10.0:10.0:15.0:100.0
4,5,38,女,中,930:191:1:9:344:672:667:74:668:826:915:924:113:164:451:605:108:106:631:641:894,39.0:67.0:10.0:67.0:334.0:32.0:15.0:71.0:9.0:10.0:10.0:37.0:9.0:9.0:44.0:206.0:79.0:20.0:9.0:9.0:250.0,40.0:67.0:12.0:67.0:337.0:32.0:15.0:73.0:10.0:10.0:10.0:37.0:9.0:9.0:44.0:206.0:79.0:20.0:8.0:9.0:256.0
5,6,25,女,重,470:814:820:836:909:872:870:920:908:871:133:667:738:94:945:940:954:647:213:45,218.0:9.0:9.0:112.0:70.0:205.0:19.0:9.0:80.0:76.0:49.0:51.0:9.0:100.0:24.0:9.0:42.0:17.0:391.0:151.0,351.0:9.0:9.0:35.0:30.0:255.0:23.0:10.0:10.0:23.0:9.0:9.0:9.0:101.0:10.0:37.0:10.0:25.0:300.0:150.0
6,7,40,女,重,108:872:926:621:871:6:7:852:908:199:13:185:918:620:638:858:818:930:470:444:181:130:668,100.0:196.0:34.0:9.0:104.0:10.0:10.0:9.0:9.0:402.0:129.0:84.0:9.0:62.0:9.0:9.0:9.0:65.0:83.0:117.0:70.0:12.0:84.0,100.0:138.0:10.0:9.0:162.0:10.0:10.0:9.0:10.0:431.0:131.0:50.0:30.0:9.0:9.0:9.0:9.0:39.0:9.0:341.0:9.0:9.0:45.0
7,8,33,女,重,53:94:95:25:919:625:552:885:927:902:449:647:893:632:454:822:826:672:186:203:338:1055:116,105.0:90.0:10.0:45.0:10.0:9.0:45.0:114.0:40.0:62.0:13.0:9.0:122.0:9.0:233.0:10.0:10.0:47.0:264.0:10.0:115.0:60.0:9.0,26.0:10.0:90.0:124.0:10.0:9.0:149.0:221.0:40.0:61.0:78.0:9.0:16.0:9.0:55.0:42.0:10.0:10.0:152.0:219.0:35.0:40.0:9.0
8,9,42,女,重,835:870:112:682:939:929:951:468:920:646:568:288:633:125:521:809:5:1:908:32:192:301:922:99,10.0:299.0:9.0:50.0:10.0:51.0:10.0:57.0:30.0:9.0:10.0:104.0:10.0:9.0:281.0:10.0:22.0:109.0:10.0:22.0:181.0:108.0:10.0:101.0,10.0:301.0:9.0:48.0:10.0:51.0:10.0:56.0:30.0:9.0:10.0:104.0:9.0:9.0:283.0:10.0:21.0:109.0:10.0:21.0:181.0:108.0:10.0:101.0
9,10,28,女,重,142:55:151:881:823:668:1023:230:937:677:630:189:293:643:634:878:98:102:909:910:502,9.0:151.0:9.0:130.0:50.0:10.0:34.0:206.0:10.0:10.0:9.0:108.0:184.0:9.0:9.0:170.0:26.0:75.0:31.0:10.0:284.0,9.0:150.0:9.0:144.0:44.0:10.0:30.0:206.0:10.0:10.0:9.0:108.0:165.0:9.0:9.0:157.0:26.0:75.0:27.0:13.0:284.0
