Sid,XKSid,YDSid,XKZZ,YDZZ
667,463:517:633:317:742:83:778:1047:1482:1048:483:1491:203:867:1478:335:633:158:1500:463:1048:335:301:792:486:112:951,185:1444:423:418:251:245:175:222:324:276:574:492:583:610:601:248:436:133:590:256:412:344:276:256:245:399:292:293:331:276:222:344:282:268:164:340:908:1031:434:276:282:271:340:319,伤肾脏|腹痛|一起吃会引起肚子痛|伤身|性味有所抵触|脱发|共烹炒易产生怪味|身体不适|一起吃严重会导致死亡|一起吃容易脱眉毛，可以吃绿豆治疗|伤肾脏|一起吃会引起中毒，可以用地浆水治疗|易发生腹胀，腹泻|面生黑斑|一起吃会引起中毒，可以用绿豆治疗|会导致中毒|会引起腹痛|会引起腹胀|会引起腹痛|伤肾脏|会伤肠胃|一起吃会引起中毒|减少铜的吸收|腹泻|伤肾脏|腹胀|二者起生化反应，不利于健康,可消食、除胀、通便|可开胃消食|可延缓衰老|可促进消化|可祛风通络、清热解毒|可清热解毒、生津止渴|可补中益气、健脾胃|可维持正常血压|可营养均衡|可补充营养、通便|可促进蛋白质吸收|可滋阴润燥、化食消积|可止鼻血|可滋补身体|可补铁利尿|可有助于蛋白质吸收|可增强营养|可壮骨补虚|可防癌抗癌|可解除疲劳|可清热补虚|可滋阴血、健脾胃|补充营养通便|促进血液循环、消除疲劳|预防糖尿病|滋补营养|润肠胃生津健身|提高蛋白质的吸收率|补肝肾|补充营养通便|降低胆固醇的吸收稳定血糖|健胃壮体|增强体质|可滋阴润燥|提高维生素B12的吸收率|有利于人体维生素B12的吸收|可助营养吸收|可滋阴润阳、润肠通便|可化痰软坚、滋阴润燥|可开胃消食|可促进宝宝成长|可均衡营养|可均衡营养|可治疗慢性尿道疾病
680,,428:97:492,,可治皮肤瘙痒|可营养丰富|可均衡营养
682,112:463:517:633,1061:646:1061:347:646,腹胀|伤肾脏|腹痛|腹痛,补气养血|催乳|可补气养血|可补虚益气|可补血
688,343:653:587,219:407:1488:79,引发腹痛|易中毒|会引起中毒,可增强免疫|可开胃消食|可健脾胃|可健脾益胃
671,,,,
690,975:939:350:226:220:219:293:293:238:951:553:492:219:83:939:220:927:317:492:866:867:293,287:301:268:347:247:407:423:630:135:287:276:276:296:395:319:301:262:314:276,身体不适|会影响消化|山药富维生素c，猪肝中含铜、铁、锌等金属微量元素，维生素c遇金属离子，则加速氧化而破坏，降低了营养价值|西红柿富含维生素C，猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能|会降低营养价值|会破坏营养|会降低铜、铁吸收|菜花含有大量纤维素，纤维素中的醛糖酸残基可与猪肝中的铁、铜、锌等微量元素形成螯合物而降低人体对这些元素的吸收|会降低营养|一起吃具有刺激作用，疮痈热病者忌食|身体不适|山楂含维生素C丰富，猪肝含有较多的铜、铁、锌等金属微量元素；维生素C遇到金属离子，则加速氧化，会使维生素C和金属都遭到破坏|有损营养素的吸收|一起吃会影响消化|一起吃会影响消化|有损营养素的吸收|面生黑斑|身体不适|会破坏维生素C|会使皮肤出现色素沉淀|会导致皮肤色素沉淀|会阻碍营养物质吸收,可增强免疫力|可改善贫血|可增强免疫|可保肝护肾|可清热解毒、补肝明目|可补气血|可滋阴清热、养肝明目|可促进营养物质的吸收|可提高人体免疫力|可清热解毒、补肝明目|可保肝护肾|滋补|有助于钙的吸收|补充全面营养|增强人体免疫力|防治贫血|缓解大脑疲劳|补充全面营养|滋补
698,428:112:428:112:112,412:120:301:271:120:232:263,一起吃会便秘|一起吃会消化不良|会引发便秘|会阻滞通气|会引起消化不良,增强体质|补血|可润肠通便、补铁补血|可清肺健胃|可补铁补血|可促进铁吸收|可生血、止血
694,185:1048,423:327:622:435:412,影响消化|腹痛,补肾|可补肾利尿|可补肾润肠|可促进营养吸收|可补肾利尿
805,,,,
670,,,,
681,,,,
697,,74,,有助于睡眠
689,293:633,483:463:486:463:517,身体不适|影响蛋白质的吸收,清热润肺、助消化|清热润肺、助消化|清热润肺、助消化|清热润肺、助消化|润肺
679,,,,
806,,,,
685,951:1491:247:327,238:344:97,影响营养素的吸收|影响营养素的吸收|形成草酸钙阻碍钙的吸收|影响钙的吸收,祛湿|滋阴养肾|增加营养素的吸收
672,1048:1482:301:112:317:83:951:867:633,256:256:293:164,伤胃|中毒|减少铜的吸收|腹胀|耗气伤身|脱发|气滞|面生黑斑|腹痛,促进血液循环、消除疲劳|促进血液循环、消除疲劳|提高蛋白质的吸收率|提高维生素B12的吸收率
691,,,,
680,,,,
693,,,,
691,,,,
738,591:948:310:1048:627:1047:1048:948:1316:560:271:357,222:418:400:245:295:276:492:300:436:612:1499:263:245:268:355:94:219:311:908:355:347:418:293:94:357:311,会导致身体不适|会易中毒|会危害身体|会易消化不良|栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值，而且不易消化|身体不适|不易消化，会引起腹胀|一起吃会引起中毒，可以用人乳和鼓汁治疗|腹胀|不利于营养素的吸收|一起吃容易中毒，可以用人乳和鼓汁解毒|会易上火,可强健身体|可补气益血|可增强免疫力|可补脾健胃、解毒止痛|可补充能量、营养丰富|可健胃消食|可促进吸收|可养肝明目、增强食欲|可健脾养胃|可健脾开胃|可养血补气|可补脾健胃|健胃益气|可补脾健胃|可防治食欲不振|可保护胃黏膜|可预防感冒、防止中暑|可增强免疫力、降血压|可延缓衰老|养血补血|催乳汁|易于消化|帮助吸收维生素B12|保护胃黏膜|驱寒、治腹痛|营养瘦身
738,627:560:1316,357:94:293:418:355:311:245,引起呕吐|不利于营养素的吸收|腹胀,驱寒、治腹痛|保护胃黏膜|帮助吸收维生素B12|易于消化|养血补血|营养瘦身|健胃益气
742,627:271:1048:1316:667,,呕吐|中毒|不宜消化、腹胀|不利于营养的吸收；|性味有所抵触,
750,158,276:276,影响营养素的吸收,增强体质|增强体质
746,,112,,可防颈椎病、美容
807,,,,
751,,,,
755,,,,
748,,824:1509:1499,,可补肾强腰|可补虚健体|可补肾壮阳
763,221:327:601:655:1047:1381:991:627:887:335:158:245,185:120:203:317:1053,易发生黄疸和脚气病|一起吃会引起中毒，可以用地浆水治疗|伤元气|可能会引起腹胀、胸闷等症。|腹泻|羊肉大热，功能益气补虚；醋中含蛋白质、糖、维生素、醋酸及多种有机酸，其性酸温，消肿活血，应与寒性食物配合，与羊肉不宜|影响营养素的吸收|二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐|二者功能相反，不宜一起吃|腹泻|同食会引起中毒|两补同时，令人肠胃气壅,消积滞、化痰热|清热泻火、除烦、止渴|补肾壮阳|去腥|养血润燥
778,955:158:327:667:340:276,301,减少营养素的吸收|一起吃会引起中毒|一起吃会引起中毒|共烹炒易产生怪味|会降低营养价值|会破坏维生素C,可恢复活力
776,158:158:587,350:263,一起吃会引起中毒，可以用鸡屎白治疗|会导致水肿、腹痛、腹泻|会易中毒,可治疗脾胃虚弱|可补脾健胃
781,,,,
783,,,,
868,311:514:1482:97:939:31:1024:256:1454:661:803,627:287:321:238:178:435:630,一起吃会伤元气|一起吃会引起痢疾，可以用鸡屎白治疗|一起吃会中毒|同食会腹痛|性味不反但功能相乘|一起吃会引起身体不适|影响消化吸收|大蒜辛温有毒，主下气消谷、除风杀毒而鸡肉甘酸温补，两者功用相佐，且蒜气熏臭，从调味角度讲，也与鸡不合|两者共食，恐助火热，无益于健康|一起吃严重会导致死亡|腹泻,可补肾、补血、养身、健脾胃|强化肝脏美化肌肤|帮助充分吸收维生素A|消肿清热利尿|增进食欲|促进蛋白质的吸收|增加抵抗力
817,256:31:97:1482:661:514,410,两者功用相佐|引起身体不适|同食会腹痛|中毒|严重会导致死亡|食则拉痢,促进蛋白质的吸收
818,939:661,418,容易引起身体不适|影响维生素的吸收,提供高质量蛋白质
819,,287,,促进胶原蛋白的吸收
820,296,311:1488:32,会不利营养吸收,可利于铁的吸收|可补肝肾、温肾阳|可治疗夜盲症
824,,350:587:662,,治小儿脾虚疳积|补肾|治遗精
823,,,,
822,514,296,腹泻,增加营养素的吸收量
869,256:1500,281:350,中毒|久食令人阳虚，水肿腹泻,清肺补血、利尿消肿|补阴养肺
840,,220,,可清热去火
837,,,,
849,,,,
845,,,,
838,,,,
839,,,,
702,,,,
735,,238,,可治疗小便不爽
725,997:881,,会损坏肝功能|会易诱发癌症,
706,,,,
1201,,,,
705,,,,
803,282:1454:276:908:560:1500:357:311:868,,一起吃容易引起腹泻和呕吐|性味相反不宜一起吃|腹泻呕吐|易产生刺激肠胃道的物质而引起腹泻|引起肠胃功能紊乱，导致腹泻|脾胃虚寒者忌食|寒热一起吃，易致腹泻|一起吃会脱水|腹泻,
808,948:350:948,,影响营养素的吸收|生涩易便秘|会产生不利人体物质,
792,414:407:930:667,,易引发心绞痛|心痛|引发心脑血管疾病|腹泻,
858,908:486:463:610,185,一起吃伤元气|伤肾脏|损伤脾胃|一起吃严重会导致死亡,润肺止咳
1508,,,,
859,,,,
866,,,,
