ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
0,1,33,男,重,911:908:929:881:22:668:444:173:115:663:636:826:212:101,52.0:9.0:61.0:300.0:136.0:62.0:260.0:9.0:9.0:9.0:109.0:10.0:345.0:113.0,10.0:40.0:59.0:300.0:150.0:66.0:273.0:9.0:9.0:9.0:9.0:9.0:500.0:100.0
1,2,45,女,中,96:870:2:809:447:880:171:810:925:558:120:94:667:929:210:622,10.0:119.0:138.0:10.0:159.0:182.0:10.0:23.0:50.0:190.0:10.0:102.0:13.0:57.0:398.0:11.0,10.0:162.0:150.0:10.0:103.0:139.0:10.0:10.0:50.0:175.0:10.0:90.0:42.0:47.0:394.0:15.0
2,3,26,女,重,878:813:810:617:930:938:886:908:1:167:120:79:510:96:195:688:641,176.0:10.0:43.0:24.0:10.0:46.0:124.0:50.0:122.0:15.0:10.0:29.0:302.0:101.0:386.0:10.0:10.0,176.0:10.0:43.0:24.0:10.0:44.0:124.0:50.0:119.0:15.0:10.0:32.0:302.0:101.0:386.0:10.0:10.0
3,4,29,男,重,97:123:492:9:910:624:909:680:685:96:454:841:1031:133:933:629:875:902:193,11.0:9.0:86.0:152.0:18.0:9.0:22.0:10.0:10.0:89.0:255.0:20.0:65.0:9.0:10.0:9.0:61.0:239.0:421.0,11.0:9.0:86.0:150.0:18.0:9.0:22.0:10.0:10.0:91.0:255.0:20.0:65.0:9.0:10.0:9.0:66.0:233.0:421.0
4,5,38,女,中,924:908:826:814:929:191:344:9:113:672:667:894:605:451:108:641,15.0:25.0:10.0:32.0:40.0:65.0:353.0:151.0:10.0:10.0:10.0:284.0:164.0:119.0:100.0:25.0,14.0:26.0:10.0:32.0:40.0:65.0:355.0:150.0:10.0:10.0:10.0:300.0:164.0:119.0:100.0:25.0
5,6,25,女,重,45:871:622:667:858:647:133:1:95:94:462:113:940:945:213:910:920,117.0:300.0:56.0:46.0:37.0:13.0:136.0:32.0:91.0:9.0:284.0:9.0:48.0:10.0:300.0:10.0:40.0,139.0:300.0:9.0:65.0:10.0:9.0:9.0:9.0:93.0:9.0:351.0:9.0:45.0:10.0:346.0:10.0:40.0
6,7,40,女,重,621:638:445:181:7:908:852:99:668:444:138:858:930:872:870:317:185,9.0:8.0:10.0:9.0:147.0:43.0:9.0:103.0:128.0:340.0:9.0:9.0:39.0:183.0:117.0:26.0:346.0,9.0:8.0:10.0:9.0:151.0:39.0:10.0:102.0:53.0:340.0:9.0:10.0:40.0:192.0:108.0:276.0:134.0
7,8,33,女,重,53:632:672:107:667:927:95:930:449:186:256:113:822:826:893,149.0:19.0:10.0:90.0:10.0:50.0:10.0:43.0:255.0:151.0:150.0:16.0:45.0:10.0:201.0,148.0:25.0:32.0:50.0:10.0:50.0:51.0:39.0:200.0:325.0:37.0:10.0:10.0:10.0:301.0
8,9,42,女,重,112:99:1:646:521:192:668:870:907:125:835:626:922:920:1027,9.0:100.0:149.0:9.0:214.0:419.0:25.0:243.0:57.0:9.0:15.0:9.0:40.0:10.0:40.0,9.0:101.0:150.0:9.0:214.0:419.0:25.0:244.0:54.0:9.0:15.0:9.0:40.0:10.0:40.0
9,10,28,女,重,634:630:1023:937:142:836:878:98:189:230:47:910:668:459,9.0:9.0:53.0:10.0:15.0:24.0:221.0:121.0:13.0:378.0:129.0:48.0:16.0:306.0,15.0:10.0:43.0:15.0:10.0:25.0:234.0:100.0:71.0:326.0:148.0:40.0:15.0:278.0
10,11,20,女,重,117:621:66:870:877:968:947:913:500:503:105:708:667:810:300,9.0:47.0:130.0:140.0:161.0:46.0:10.0:50.0:340.0:10.0:119.0:15.0:50.0:10.0:344.0,10.0:25.0:149.0:129.0:172.0:45.0:10.0:50.0:329.0:21.0:101.0:10.0:10.0:40.0:299.0
11,12,35,女,中,125:193:120:20:704:645:238:926:873:94:821:464:453:1025,24.0:19.0:30.0:222.0:67.0:101.0:403.0:108.0:299.0:87.0:94.0:148.0:232.0:42.0,15.0:279.0:10.0:150.0:35.0:10.0:143.0:51.0:300.0:100.0:39.0:9.0:341.0:75.0
12,13,28,女,中,939:947:95:106:901:874:276:238:614:444:130:115:815:71:13:927:908:622:645:703,17.0:40.0:10.0:90.0:51.0:250.0:126.0:259.0:152.0:198.0:8.0:9.0:23.0:130.0:21.0:40.0:10.0:9.0:9.0:27.0,17.0:27.0:10.0:90.0:59.0:241.0:126.0:259.0:26.0:323.0:9.0:9.0:26.0:140.0:11.0:38.0:10.0:9.0:9.0:13.0
13,14,25,女,重,94:234:284:447:34:37:621:623:911:916:930:1011:844:814:677:139:871,143.0:61.0:397.0:226.0:10.0:141.0:180.0:9.0:9.0:131.0:49.0:25.0:47.0:71.0:9.0:9.0:300.0,101.0:61.0:363.0:350.0:9.0:140.0:15.0:10.0:9.0:41.0:49.0:25.0:23.0:41.0:10.0:10.0:301.0
14,15,39,女,轻,678:667:444:820:835:908:916:573:301:302:151:42:94:896:905:940:956:624,9.0:10.0:123.0:10.0:10.0:40.0:10.0:158.0:332.0:64.0:18.0:129.0:101.0:123.0:111.0:10.0:56.0:17.0,10.0:10.0:121.0:45.0:10.0:40.0:10.0:111.0:356.0:45.0:10.0:148.0:101.0:123.0:118.0:50.0:10.0:25.0
15,16,35,女,轻,820:746:578:94:130:930:223:1045:829:483:120:910:908:877:870:653:32,34.0:10.0:10.0:100.0:9.0:34.0:374.0:20.0:21.0:313.0:10.0:10.0:40.0:115.0:185.0:15.0:150.0,12.0:17.0:259.0:100.0:10.0:10.0:376.0:65.0:12.0:76.0:10.0:40.0:10.0:101.0:199.0:10.0:149.0
16,17,20,男,中,946:670:668:870:463:24:96:661:929:113:216:145:617:32:212:95:816:909,9.0:9.0:12.0:301.0:44.0:21.0:63.0:23.0:71.0:9.0:138.0:9.0:236.0:93.0:244.0:74.0:52.0:50.0,10.0:10.0:49.0:300.0:44.0:50.0:44.0:15.0:46.0:10.0:44.0:10.0:236.0:100.0:255.0:55.0:15.0:50.0
17,18,22,男,轻,104:108:887:871:7:32:444:632:908:144:125:338:820:818:962:718,71.0:31.0:78.0:221.0:54.0:97.0:303.0:10.0:50.0:10.0:15.0:300.0:10.0:39.0:47.0:25.0,90.0:10.0:30.0:269.0:49.0:100.0:345.0:15.0:50.0:10.0:10.0:300.0:10.0:21.0:40.0:43.0
18,19,29,男,重,881:682:163:125:7:444:21:925:99:809:100:667:883:811:204:1031:939:621:660,186.0:117.0:93.0:9.0:11.0:200.0:140.0:50.0:91.0:39.0:11.0:9.0:222.0:9.0:450.0:10.0:65.0:236.0:101.0,303.0:9.0:9.0:9.0:9.0:350.0:142.0:50.0:9.0:9.0:91.0:45.0:9.0:9.0:411.0:63.0:11.0:9.0:10.0
19,20,44,男,轻,1003:622:945:94:669:908:668:632:132:158:490:456:63:11:817:819:891:193,32.0:9.0:10.0:102.0:10.0:44.0:10.0:8.0:9.0:9.0:340.0:10.0:42.0:106.0:10.0:25.0:264.0:404.0,23.0:9.0:17.0:100.0:13.0:40.0:10.0:8.0:9.0:9.0:52.0:298.0:112.0:38.0:25.0:10.0:299.0:398.0
20,21,21,女,中,827:869:885:872:639:10:233:244:450:488:958:921:675:110:95:138,20.0:44.0:256.0:45.0:25.0:107.0:94.0:310.0:272.0:77.0:58.0:53.0:10.0:52.0:76.0:10.0,30.0:22.0:198.0:101.0:25.0:150.0:81.0:302.0:110.0:212.0:39.0:44.0:10.0:10.0:90.0:10.0
21,22,29,女,重,812:825:646:627:18:32:671:173:879:870:97:111:265:915:942:1031:531,10.0:10.0:10.0:15.0:82.0:70.0:38.0:10.0:45.0:256.0:76.0:25.0:406.0:47.0:41.0:28.0:203.0,10.0:10.0:10.0:15.0:60.0:89.0:43.0:10.0:51.0:249.0:43.0:56.0:316.0:40.0:10.0:65.0:199.0
22,23,28,女,中,1:667:669:98:953:956:460:559:127:113:928:917:878:632:644:350:191:850:842,148.0:10.0:10.0:100.0:13.0:27.0:208.0:77.0:9.0:9.0:34.0:10.0:175.0:8.0:9.0:93.0:306.0:20.0:10.0,150.0:10.0:10.0:100.0:13.0:26.0:208.0:77.0:9.0:9.0:34.0:10.0:180.0:9.0:9.0:93.0:306.0:20.0:10.0
23,24,25,女,中,83:870:668:18:908:913:104:94:453:192:974:948:157:826:634,128.0:300.0:81.0:23.0:40.0:10.0:85.0:15.0:216.0:392.0:57.0:10.0:40.0:9.0:12.0,22.0:300.0:53.0:129.0:10.0:40.0:90.0:9.0:272.0:326.0:32.0:43.0:10.0:11.0:22.0
